session,scan_idx,unit_id,readout_id,brain_area,layer,MEDI,Gabor,MESI,Grating,Natural
4,7,644,513,AL,L23,23.959135,2.4174365997314453,1.938621401786804,3.6697053909,6.124146938323975
4,7,646,515,AL,L23,6.9383473,0.749001681804657,0.86872398853302,5.4377660751,5.011857986450195
4,7,648,517,RL,L23,30.309046,4.134068965911865,6.749838352203369,4.9082479477,6.126120090484619
4,7,650,519,RL,L23,2.241781234741211,1.9405959844589236,1.2313635349273682,12.4589729309,12.38510036468506
4,7,651,520,RL,L23,14.461252,0.4907482266426086,0.6471585035324097,5.8506608009,14.984576225280762
4,7,653,522,RL,L23,44.339092,3.3334593772888184,5.730717658996582,2.8770034313,7.4602789878845215
4,7,656,525,RL,L23,16.626839,7.016165733337402,7.620261669158935,6.1998205185,15.141695976257324
4,7,658,526,V1,L23,23.314358,4.401864051818848,10.837285995483398,3.383351326,9.625883102416992
4,7,660,528,V1,L23,9.709326,2.823474645614624,2.704209327697754,6.2116069794,10.212849617004396
4,7,661,529,V1,L23,20.716665,6.299988269805908,6.726169586181641,2.7467279434,8.379324913024902
4,7,662,530,V1,L23,34.412723541259766,6.645108222961426,19.911453247070312,1.3981593847,19.39669609069824
4,7,665,533,RL,L23,8.788789,3.9047892093658447,5.753562450408936,4.3340640068,4.184756755828857
4,7,670,538,V1,L23,11.785896,6.306376457214356,12.880213737487791,4.6587052345,12.20779514312744
4,7,671,539,V1,L23,12.9725895,5.921832084655762,10.744701385498049,3.7579636574,15.338483810424805
4,7,672,540,V1,L23,14.350381,3.1342148780822754,5.5347418785095215,1.7858217955,5.659152030944824
4,7,673,541,V1,L23,12.297672271728516,2.0461792945861816,2.687394380569458,1.9053219557,6.37595272064209
4,7,674,542,V1,L23,4.593142,1.3618226051330566,1.907710313796997,1.3870823383,3.314225196838379
4,7,679,547,V1,L23,10.831032,5.501413345336914,5.593993663787842,1.7883088589,8.119129180908203
4,7,680,548,V1,L23,24.931639,10.606359481811523,13.268631935119627,29.607257843,23.962297439575195
4,7,682,549,V1,L23,74.65973,28.985593795776367,28.02224349975586,2.9239013195,12.781157493591309
4,7,683,550,V1,L23,9.831324,4.2198872566223145,5.432713508605957,2.1125495434,6.516554355621338
4,7,686,553,V1,L23,36.71308,2.0553178787231445,3.84756064414978,3.2028005123,4.64301061630249
4,7,689,556,V1,L23,20.522722,5.556572914123535,14.59922695159912,2.4895164967,7.128637790679932
4,7,690,557,V1,L23,86.044815,21.624574661254883,47.47774887084961,8.4944190979,14.327898979187012
4,7,691,558,V1,L23,26.810877,2.953460454940796,4.6184797286987305,3.0585057735,16.4063663482666
4,7,693,560,V1,L23,10.711566,2.0585155487060547,1.9077078104019165,3.4637126923,3.35795259475708
4,7,699,565,V1,L23,8.988348,1.3857717514038086,2.0085246562957764,1.1044998169,11.151891708374023
4,7,700,566,V1,L23,11.892651,6.036848068237305,8.32034683227539,3.4576964378,2.9673800468444824
4,7,701,567,V1,L23,5.270065,4.091686248779297,4.844138622283936,2.2884728909,5.4185075759887695
4,7,702,568,V1,L23,61.55151,19.83519172668457,15.123743057250977,3.4301691055,11.536027908325195
4,7,703,569,V1,L23,6.675975,1.9188075065612795,2.6648318767547607,2.0735318661,5.880967617034912
4,7,704,570,V1,L23,1.3012078,0.7442834377288818,0.6536752581596375,1.3187767267,2.478520154953003
4,7,706,572,V1,L23,3.6589723,1.8368351459503172,2.172727108001709,2.1088237762,3.862673282623291
4,7,707,573,V1,L23,7.450851440429687,1.7647181749343872,1.6815783977508545,3.4817769527,2.7789883613586426
4,7,708,574,V1,L23,4.869501113891602,1.079083800315857,0.9862674474716188,1.1748613119,2.7672770023345947
4,7,709,575,RL,L23,2.0153432,0.8213850259780884,0.5323936939239502,2.0140070915,2.129736423492432
4,7,713,577,V1,L23,181.619,9.88131046295166,31.109033584594727,22.8580589294,17.511892318725586
4,7,714,578,V1,L23,22.53621,1.9213786125183103,2.060463190078736,2.3080244064,12.074036598205566
4,7,715,579,V1,L23,8.861514,4.478784561157227,6.292017936706543,6.6450233459,8.315959930419922
4,7,716,580,V1,L23,27.1070556640625,0.960222601890564,6.151694297790527,2.6010608673,7.160897254943848
4,7,717,581,V1,L23,62.222374,4.6578874588012695,7.790533542633057,8.7282810211,20.201757431030277
4,7,718,582,V1,L23,31.63632,5.637165069580078,14.476840019226074,4.6740865707,7.421500205993652
4,7,719,583,V1,L23,33.80497,5.165605068206787,7.593074321746826,11.9005470276,9.570479393005373
4,7,720,584,V1,L23,6.4033093,2.754920244216919,7.398120880126953,4.7124223709,6.899095058441162
4,7,721,585,V1,L23,9.104644775390623,7.415256500244141,6.880931854248047,1.7277824879,6.398825645446777
4,7,722,586,V1,L23,48.320324,14.058345794677734,19.557846069335938,11.1953001022,14.230182647705078
4,7,723,587,V1,L23,150.87631,10.398963928222656,46.926231384277344,4.8442668915,29.4903564453125
4,7,727,589,V1,L23,7.825066566467285,4.477212429046631,1.891072988510132,1.6590166092,2.355656862258911
4,7,728,590,V1,L23,11.280927,1.319190502166748,2.8690505027771,13.3640670776,20.99664878845215
4,7,729,591,V1,L23,8.507189,2.6325008869171143,2.922788143157959,3.117446661,2.9375948905944824
4,7,730,592,V1,L23,11.064081,5.141257286071777,6.683762073516846,2.4594092369,6.390888214111328
4,7,736,596,V1,L23,225.22585,26.704648971557617,39.35032653808594,33.9486045837,41.31071472167969
4,7,738,597,V1,L23,11.997639,4.214135646820068,4.367405891418457,3.2243714333,11.34484577178955
4,7,739,598,V1,L23,16.178902,3.955409526824951,2.363245248794556,11.8779296875,7.135125160217285
4,7,740,599,V1,L23,61.37022,3.4471263885498047,8.721929550170898,13.8547506332,6.831804275512695
4,7,742,600,V1,L23,11.06181526184082,3.910628080368042,8.078633308410645,3.7381033897,4.259817600250244
4,7,744,601,V1,L23,15.155132,3.8526880741119385,3.71568751335144,10.2506227493,5.234788417816162
4,7,746,602,V1,L23,8.356432914733887,0.7452202439308167,6.034157752990723,5.5616083145,7.038286209106445
4,7,747,603,V1,L23,45.46452331542969,10.755763053894045,10.903646469116213,21.0814819336,8.639396667480469
4,7,748,604,V1,L23,3.863229990005493,1.8662550449371336,2.161388397216797,4.1279506683,3.467592716217041
4,7,756,609,V1,L23,13.447139,4.440605640411377,3.516726016998291,2.1369478703,22.010534286499023
4,7,758,610,V1,L23,13.623278,2.362266063690185,3.680688381195069,4.8383951187,16.248014450073242
4,7,760,611,V1,L23,22.763124465942383,1.9866175651550293,2.700202226638794,3.054848671,8.328532218933105
4,7,761,612,V1,L23,4.514881,0.9028658866882324,1.8704158067703247,1.7427592278,4.422863960266113
4,7,762,613,V1,L23,47.22822,12.530290603637695,20.08529090881348,9.4004507065,16.994829177856445
4,7,763,614,V1,L23,13.631432,5.7656121253967285,3.890153408050537,37.5742912292,14.494158744812012
4,7,764,615,V1,L23,27.921501,8.635275840759277,11.337798118591309,10.3491821289,6.4907097816467285
4,7,765,616,V1,L23,37.18449401855469,4.361607551574707,8.781557083129883,2.0191016197,14.23484706878662
4,7,767,618,V1,L23,5.038544,3.007164239883423,2.499830961227417,2.1277058125,3.765679836273194
4,7,768,619,V1,L23,5.2218328,0.5025041699409485,1.0853114128112793,2.148925066,3.654025077819824
4,7,769,620,V1,L23,8.65131,2.125704050064087,1.60252046585083,0.9850239754,3.5091753005981445
4,7,770,621,V1,L23,1.4886258,0.8268448114395142,0.9561203122138976,0.9257733822,2.9028749465942383
4,7,775,626,V1,L23,21.363283,1.8699982166290283,2.9082634449005127,5.5481982231,15.1555814743042
4,7,777,628,V1,L23,25.865135,5.500312328338623,8.05197811126709,2.4279980659,8.900235176086426
4,7,779,629,V1,L23,15.600048065185549,2.574732780456543,3.5768511295318604,1.3498549461,8.0447416305542
4,7,780,630,V1,L23,20.844728,4.569454193115234,8.562350273132324,1.1699597836,18.885351181030277
4,7,781,631,V1,L23,25.174759,3.8406009674072266,6.921281337738037,5.4134736061,8.270713806152344
4,7,782,632,V1,L23,4.324084,1.4633054733276367,3.7776401042938232,2.6489489079,7.268207550048828
4,7,783,633,V1,L23,5.444971,1.7057000398635864,1.9703766107559204,2.1455540657,5.486731052398682
4,7,784,634,V1,L23,13.066663,1.5768498182296753,3.491421699523926,2.1351845264,4.755183696746826
4,7,785,635,V1,L23,9.495917,1.697120189666748,2.5274829864501958,1.6142935753,3.0611069202423096
4,7,791,641,V1,L23,29.955557,6.163347244262695,7.750815391540527,2.3205869198,6.505950450897217
4,7,792,642,V1,L23,20.922134,3.98644495010376,4.924274444580078,1.7327238321,5.601298809051514
4,7,793,643,V1,L23,41.5453,8.729445457458496,4.3138427734375,4.3528218269,8.064496040344238
4,7,795,644,V1,L23,10.128678,1.975791335105896,5.693647384643555,5.3209853172,7.1588873863220215
4,7,796,645,V1,L23,29.196562,5.073070526123047,5.637174606323242,2.3849508762,9.65912628173828
4,7,797,646,V1,L23,25.640697,3.0226986408233643,7.302455902099609,3.0355024338,8.083490371704102
4,7,798,647,V1,L23,16.64572,9.082300186157228,11.869171142578123,4.3276524544,10.099688529968262
4,7,800,649,V1,L23,6.3470182,1.0575555562973022,1.7967106103897097,2.2511563301,5.323673248291016
4,7,805,654,V1,L23,57.64756,7.303844451904297,11.48097038269043,55.101978302,40.2567253112793
4,7,806,655,V1,L23,26.557592,2.1877570152282715,4.7393574714660645,1.8094651699,7.106521129608154
4,7,808,657,V1,L23,16.585317611694336,2.07767391204834,2.2989468574523926,13.7840156555,44.36635208129883
4,7,809,658,V1,L23,8.625623,1.362219214439392,1.0589414834976196,4.3886222839,6.115375995635986
4,7,816,664,V1,L23,20.71624,7.550013542175293,4.718549728393555,16.5548419952,7.38150691986084
4,7,817,665,V1,L23,9.023546,2.995518207550049,3.6742544174194336,2.2650923729,10.687382698059082
4,7,819,667,V1,L23,5.158929,1.212294578552246,1.6228810548782349,1.3866791725,3.740854501724243
4,7,821,669,V1,L23,19.359484,2.8231122493743896,4.405002117156982,4.6408081055,5.626926422119141
4,7,822,670,V1,L23,4.85251,0.7942938804626465,1.321120262145996,1.24187994,3.4100167751312256
4,7,823,671,V1,L23,9.521558,3.8908188343048096,2.451190710067749,3.2206804752,3.197732925415039
4,7,825,673,V1,L23,24.41307640075684,0.9860286116600036,3.361228704452514,0.9096370935,5.766242027282715
4,7,827,674,V1,L23,6.1763005,0.8535669445991516,0.72426438331604,1.4811654091,6.25858211517334
4,7,829,676,V1,L23,86.94503,2.4569551944732666,5.186431884765625,3.9194364548,11.103206634521484
4,7,831,678,V1,L23,9.509573,1.7172746658325195,1.6159005165100098,2.1277697086,5.911805629730225
