session,scan_idx,readout_id,brain_area,layer,unit_id
5,6,1271,AL,L23,1360
6,7,7363,AL,L4,8062
6,4,5982,AL,L5,6477
7,5,2139,LM,L23,2352
6,4,4333,LM,L4,4703
5,7,6448,LM,L5,7098
7,5,1426,RL,L23,1575
9,3,5206,RL,L4,5628
7,3,6963,RL,L5,7524
7,5,1733,V1,L23,1905
7,5,6488,V1,L4,7182
5,6,6835,V1,L5,7462
7,5,1897,AL,L23,2090
4,7,4790,AL,L4,5382
5,6,6149,AL,L5,6715
6,6,3373,LM,L23,3646
7,5,6804,LM,L4,7527
4,7,7112,LM,L5,7978
9,6,2048,RL,L23,2203
6,6,3382,RL,L4,3655
5,7,6698,RL,L5,7375
9,4,6912,V1,L23,7404
6,4,4310,V1,L4,4678
6,6,7749,V1,L5,8323
6,7,2833,AL,L23,3124
5,7,3817,AL,L4,4190
4,7,6865,AL,L5,7710
8,5,4276,LM,L23,4501
7,5,6048,LM,L4,6701
6,2,8141,LM,L5,8740
6,2,1270,RL,L23,1390
4,7,4920,RL,L4,5539
6,7,5525,RL,L5,6083
7,5,3927,V1,L23,4333
6,2,4928,V1,L4,5334
5,6,6467,V1,L5,7056
7,5,1858,AL,L23,2048
9,3,6664,AL,L4,7249
5,6,6148,AL,L5,6714
8,5,1588,LM,L23,1673
5,6,3980,LM,L4,4337
7,5,7801,LM,L5,8599
7,5,1454,RL,L23,1606
9,3,2215,RL,L4,2379
6,6,6498,RL,L5,7017
9,4,4711,V1,L23,5055
5,6,5016,V1,L4,5461
5,7,6775,V1,L5,7467
8,5,4232,AL,L23,4453
9,3,4060,AL,L4,4388
7,3,6142,AL,L5,6669
6,2,1256,LM,L23,1374
9,3,7422,LM,L4,8061
4,7,6903,LM,L5,7748
6,6,4074,RL,L23,4392
5,6,4668,RL,L4,5081
7,3,7932,RL,L5,8565
9,4,5182,V1,L23,5558
8,5,7523,V1,L4,7973
6,7,6550,V1,L5,7228
8,5,5384,AL,L23,5671
4,7,4809,AL,L4,5402
6,4,6917,AL,L5,7475
6,4,3620,LM,L23,3944
4,7,5960,LM,L4,6740
5,7,6799,LM,L5,7495
8,5,5517,RL,L23,5820
7,3,4771,RL,L4,5183
7,3,8367,RL,L5,9029
9,4,2224,V1,L23,2399
9,3,2646,V1,L4,2831
5,7,7707,V1,L5,8419
6,2,1848,AL,L23,2014
7,5,5971,AL,L4,6612
7,5,8094,AL,L5,8918
6,7,3717,LM,L23,4092
6,7,5553,LM,L4,6112
7,5,8165,LM,L5,8999
4,7,2361,RL,L23,2724
9,3,2403,RL,L4,2576
6,6,5836,RL,L5,6292
6,2,1608,V1,L23,1754
9,3,4910,V1,L4,5316
5,7,6244,V1,L5,6867
7,5,1909,AL,L23,2105
4,7,5930,AL,L4,6700
7,3,6129,AL,L5,6652
9,4,1383,LM,L23,1492
5,6,5064,LM,L4,5519
5,6,6184,LM,L5,6751
6,6,3990,RL,L23,4302
5,6,4077,RL,L4,4442
6,4,6748,RL,L5,7290
6,7,1092,V1,L23,1231
6,2,4877,V1,L4,5278
7,3,8304,V1,L5,8961
6,4,1739,AL,L23,1909
8,5,6993,AL,L4,7401
7,3,6168,AL,L5,6695
7,5,1439,LM,L23,1591
6,7,5582,LM,L4,6143
4,7,6912,LM,L5,7757
8,5,4343,RL,L23,4573
8,5,7114,RL,L4,7532
5,7,6754,RL,L5,7443
9,4,4339,V1,L23,4652
7,3,4745,V1,L4,5156
6,7,7417,V1,L5,8117
6,7,3879,AL,L23,4270
5,6,4544,AL,L4,4945
4,7,7119,AL,L5,7985
5,7,1313,LM,L23,1427
9,3,6775,LM,L4,7369
5,7,6758,LM,L5,7448
6,2,2253,RL,L23,2449
5,7,4681,RL,L4,5150
5,7,6382,RL,L5,7026
5,6,1743,V1,L23,1885
7,3,4411,V1,L4,4781
8,5,9349,V1,L5,9942
5,7,1241,AL,L23,1342
5,6,3843,AL,L4,4188
6,4,6658,AL,L5,7197
5,6,2199,LM,L23,2390
7,3,4078,LM,L4,4424
8,5,9793,LM,L5,10418
6,2,1227,RL,L23,1344
6,2,3826,RL,L4,4157
7,3,6238,RL,L5,6771
8,5,2293,V1,L23,2417
4,7,5188,V1,L4,5842
5,6,6436,V1,L5,7020
6,4,1094,AL,L23,1193
5,7,3728,AL,L4,4085
8,5,9873,AL,L5,10503
5,6,1380,LM,L23,1484
4,7,4951,LM,L4,5572
9,3,6743,LM,L5,7336
6,7,3649,RL,L23,4008
7,5,6118,RL,L4,6778
6,6,6767,RL,L5,7316
6,4,1397,V1,L23,1516
9,3,5104,V1,L4,5521
6,6,7643,V1,L5,8215
4,7,2266,AL,L23,2618
6,6,4023,AL,L4,4336
8,5,9745,AL,L5,10370
7,3,1410,LM,L23,1532
7,5,6070,LM,L4,6728
6,4,7738,LM,L5,8330
6,6,4148,RL,L23,4473
4,7,5637,RL,L4,6362
5,7,6531,RL,L5,7192
9,6,4098,V1,L23,4407
6,6,4147,V1,L4,4472
6,2,6947,V1,L5,7524
6,4,4720,AL,L23,5116
5,6,3861,AL,L4,4210
5,6,6171,AL,L5,6738
8,5,4277,LM,L23,4502
9,3,6749,LM,L4,7342
6,2,6965,LM,L5,7543
8,5,2376,RL,L23,2500
5,7,3939,RL,L4,4318
7,3,8503,RL,L5,9169
6,4,3728,V1,L23,4059
6,6,6100,V1,L4,6574
5,6,6699,V1,L5,7316
7,3,1347,AL,L23,1467
7,3,3883,AL,L4,4215
6,6,6336,AL,L5,6837
6,4,3619,LM,L23,3943
4,7,5547,LM,L4,6256
4,7,6871,LM,L5,7716
6,4,3748,RL,L23,4079
4,7,5885,RL,L4,6639
6,6,6280,RL,L5,6776
5,6,1632,V1,L23,1762
9,3,6900,V1,L4,7503
6,4,6319,V1,L5,6833
7,3,2259,AL,L23,2434
9,3,2628,AL,L4,2810
8,5,7825,AL,L5,8315
9,6,2495,LM,L23,2669
6,7,5583,LM,L4,6144
5,6,6200,LM,L5,6767
6,4,3585,RL,L23,3904
5,7,4611,RL,L4,5080
7,3,7894,RL,L5,8524
4,7,2656,V1,L23,3049
7,3,4401,V1,L4,4771
6,4,6159,V1,L5,6666
8,5,4211,AL,L23,4432
9,3,1408,AL,L4,1526
5,7,6510,AL,L5,7168
6,2,1221,LM,L23,1337
7,5,6072,LM,L4,6730
5,7,6590,LM,L5,7254
8,5,1458,RL,L23,1536
8,5,7990,RL,L4,8490
5,7,7606,RL,L5,8317
9,4,4579,V1,L23,4909
9,3,2464,V1,L4,2638
6,4,6582,V1,L5,7113
8,5,1418,AL,L23,1492
9,3,2400,AL,L4,2572
7,5,7768,AL,L5,8565
6,7,6411,LM,L23,7064
7,5,6100,LM,L4,6760
6,4,6927,LM,L5,7485
9,6,4040,RL,L23,4348
6,4,3712,RL,L4,4042
7,3,7885,RL,L5,8515
9,6,1915,V1,L23,2058
6,7,5636,V1,L4,6201
7,3,7988,V1,L5,8622
6,4,3541,AL,L23,3857
4,7,4791,AL,L4,5384
5,7,8044,AL,L5,8767
6,2,4783,LM,L23,5173
7,5,6101,LM,L4,6761
5,6,8591,LM,L5,9254
5,7,1297,RL,L23,1409
7,5,6051,RL,L4,6704
6,2,6852,RL,L5,7421
6,2,1610,V1,L23,1756
9,3,1749,V1,L4,1881
7,3,8319,V1,L5,8976
5,7,1933,AL,L23,2120
6,2,4478,AL,L4,4846
7,3,7892,AL,L5,8522
4,7,3326,LM,L23,3782
6,2,3810,LM,L4,4141
6,4,6088,LM,L5,6592
7,3,1485,RL,L23,1608
6,4,3746,RL,L4,4077
6,4,6769,RL,L5,7311
9,6,5065,V1,L23,5428
6,7,5635,V1,L4,6200
6,2,6529,V1,L5,7060
9,6,1295,AL,L23,1407
7,5,6619,AL,L4,7331
6,4,6588,AL,L5,7120
6,4,4521,LM,L23,4901
6,7,5517,LM,L4,6075
6,7,7744,LM,L5,8455
6,7,3079,RL,L23,3394
9,3,4329,RL,L4,4671
6,2,6951,RL,L5,7528
6,7,3815,V1,L23,4201
8,5,7213,V1,L4,7634
7,3,8106,V1,L5,8741
6,6,1890,AL,L23,2057
6,2,3710,AL,L4,4030
6,7,7842,AL,L5,8555
6,2,1205,LM,L23,1318
6,7,5518,LM,L4,6076
5,6,6185,LM,L5,6752
7,5,3866,RL,L23,4267
7,5,6738,RL,L4,7458
6,4,6857,RL,L5,7403
9,6,4552,V1,L23,4889
9,3,7788,V1,L4,8448
6,4,7773,V1,L5,8365
7,5,1292,AL,L23,1412
9,3,1371,AL,L4,1486
7,3,7883,AL,L5,8513
7,5,1441,LM,L23,1593
7,3,3961,LM,L4,4302
4,7,7269,LM,L5,8152
9,4,6692,RL,L23,7177
9,3,4222,RL,L4,4559
7,3,8332,RL,L5,8991
8,5,4934,V1,L23,5194
9,3,1656,V1,L4,1784
5,6,6965,V1,L5,7598
7,3,2295,AL,L23,2472
9,3,7746,AL,L4,8404
6,6,7476,AL,L5,8044
9,4,2491,LM,L23,2681
4,7,4904,LM,L4,5522
