session,scan_idx,unit_id,readout_id,pref_tf,pref_sf,pref_ori,pref_dir,OSI,DSI,gOSI,gDSI,STII,curve_corr,rf_x,rf_y,rf_sigma_x,rf_sigma_y,rf_theta,SSI,resp
9,3,4446,4114,1.0,0.010452773071868312,93.9827772118278,273.9827772118278,0.66914713,0.3766303,0.3227450044731566,0.2177104525374259,0.43739521503448486,0.4772280074097973,-0.16860883103922886,0.13904976209309772,15.616668614942279,19.934519507607703,3.1415926535897927,8.240089410064648,8.15047
6,4,2316,2109,0.5,0.015935381728025885,91.06297150831395,91.06297150831395,0.44896728,0.29184404,0.17422789861857688,0.21989842052565722,0.4689333438873291,0.3800141829721879,-0.12700373161010392,0.11592429718449093,21.15007518305312,16.526367006680893,-3.1415926535897927,8.180860366455663,15.486324
4,7,8309,7416,2.0,0.015935381728025885,125.66873028950226,125.66873028950226,0.32749584,0.02393192,0.17896738714621405,0.13320647862410823,0.3905476927757263,0.3704046512844157,-0.10650431619380196,0.02236484400666594,26.100246092943436,16.62280022092389,-3.1415926535897927,8.301969025499684,2.321821
5,6,7489,6862,1.0,0.021196380984504826,86.22342748805427,86.22342748805427,0.3906369,0.039709006,0.19776446090690347,0.010104214813330016,0.492140531539917,0.7969307109436505,-0.16172984703890592,-0.09736292845616135,17.2207767319801,13.951939933847857,-3.1415926535897927,8.267332326695124,0.6717933
6,2,8740,8141,2.5,0.02225000975343107,84.40538185132914,264.40538185132914,0.27640358,0.48598734,0.06124020873745144,0.2769969603605742,0.5619620084762573,0.7439805696709623,-0.1710122897017693,-0.04577454990215257,22.697252905575546,16.541209589855402,3.1415926535897927,8.163625854959683,3.3583877
6,4,4368,4025,1.5,0.02734375,167.6479175959335,167.6479175959335,0.6707455,0.45605943,0.3059917990436535,0.3030311758793192,0.5161038041114807,0.7042125374942172,-0.21616916501105476,0.19237091740540224,16.238232554672262,12.802313958396713,-3.1415926535897927,8.37409944879286,7.6789613
6,7,6466,5878,0.5,0.01171875,20.750042054298376,200.75004205429838,0.18919311,0.29246658,0.09875873517370183,0.1397369238829933,0.42017245292663574,0.37038616496898774,-0.15750141959692232,-0.023007219755869945,19.637142329688555,11.492736818810926,-0.013170187351244656,8.378294743808473,7.8959613
6,7,4484,4078,0.5,0.013621835786870847,146.1589800898278,146.1589800898278,0.43811536,0.28279993,0.18460850520363054,0.1686811423822473,0.3185853958129883,0.650790492245397,-0.03008581701492341,0.11983675857878628,24.25038065490994,19.339132425048387,-0.5340067817643339,8.275667896321258,50.938145
6,7,6861,6219,1.0,0.020905546143736624,125.46455242417197,125.46455242417197,0.5664712,0.32026783,0.2489215284980366,0.19950744370496232,0.566482424736023,0.35436834917608884,-0.19888562582847313,0.08944275294930848,19.495386391997958,16.585492946172543,2.864903541796638,8.846397761969554,8.185902
8,5,8495,7995,1.0,0.02734375,175.30924152708548,355.3092415270855,0.8665684,0.14479947,0.5096692458751544,0.07753610697377179,0.5220510959625244,0.792867722884961,-0.08182014957528294,0.15787370652379007,17.40391427187146,16.74968311177782,3.1415926535897927,8.68118274180675,19.351057
9,3,4897,4535,0.5,0.014427751856418976,77.8738892829104,257.8738892829104,0.55710316,0.4123956,0.23278075627739725,0.1829353759473768,0.34207916259765625,0.4099665201941685,-0.10518573969622724,0.0477891013582874,19.781389239209368,16.759522477951993,-3.1415926535897927,8.65011585639957,5.115251
9,3,8002,7365,0.5,0.02734375,11.549985214070627,11.549985214070627,0.6538839,0.04789474,0.35808601635231274,0.06085094691914054,0.5425981283187866,0.7115037913483433,-0.11594550593005137,0.069507082920792,20.858485931278377,14.309719218085135,3.1139696082950548,8.692365099259485,15.433764
5,6,5338,4907,0.5,0.010452773071868312,138.8583863167392,138.8583863167392,0.35096157,0.27740714,0.13031810220821988,0.17340484509566587,0.3723105192184448,0.31354790703044977,-0.25778338703363535,-0.022868754205138453,19.30950721574255,14.830100893002495,-0.04886992417002697,8.445530742402136,79.584236
7,3,5498,5058,0.5,0.01709871146145157,154.01543885175496,154.01543885175496,0.47255093,0.42456993,0.16706925880865497,0.24337399925377204,0.5007152557373047,0.6465051936778027,-0.05270629017206774,0.09939789948408762,21.42769452180848,17.2595882522192,2.838729865342239,8.445253965856942,16.03849
