session,scan_idx,unit_id,readout_id,pref_tf,pref_sf,pref_ori,pref_dir,OSI,DSI,gOSI,gDSI,STII,curve_corr,rf_x,rf_y,rf_sigma_x,rf_sigma_y,rf_theta,SSI,resp
9,3,4446,4114,2.0,0.028051091375098133,94.21970468002547,274.2197046800255,0.69375217,0.38082373,0.34405661262353365,0.2308058285057629,0.3849002718925476,0.4615898269020768,-0.1694290709991929,0.13562452482840737,14.949424656465938,20.959084910935513,0.365191189251977,7.7773245216847595,7.2970524
6,4,2316,2109,0.5,0.015935381728025885,97.5134063872769,97.5134063872769,0.3761806,0.38028947,0.16099426901587627,0.19609751493974825,0.49444741010665894,0.29095818445236243,-0.13370217386952044,0.12441247597997007,21.44687274245335,15.238782286345838,-0.24606161099702725,7.867625270349206,15.90503
4,7,8309,7416,2.0,0.018172240812029793,128.34828489785048,308.3482848978505,0.45486078,0.06414126,0.2368747033164147,0.07102153413544418,0.35026615858078003,0.11424049878511834,-0.08303551438783296,0.06160254943066423,23.959265844922573,17.760731769293663,-3.1415926535897927,7.935293777707703,3.1111166
5,6,7489,6862,1.5,0.028051091375098133,93.39740356054602,273.397403560546,0.6506396,0.22678173,0.33548798518940776,0.13722652331278196,0.41118937730789185,0.8427541746199927,-0.17654054149653764,-0.10985196037024125,17.407985608400775,14.771274451812545,-3.1415926535897927,7.791755529660991,0.65189743
6,2,8740,8141,2.5,0.02225000975343107,122.12542178436803,302.12542178436803,0.46788025,0.5340993,0.1647763208625162,0.2925137009562779,0.5918444395065308,0.880949863699567,-0.15792355209099573,-0.05544319337466008,23.07345715724308,16.819040945300163,3.1415926535897927,7.801277622254494,3.9205015
6,4,4368,4025,1.5,0.02734375,164.46731103469511,164.46731103469511,0.6843146,0.49322549,0.3118239882678562,0.3267925771243202,0.5419652462005615,0.6649119748042155,-0.21192387456037365,0.19721034985413932,16.72045478465986,13.168968718625585,-3.1415926535897927,8.060403672606597,7.0895643
6,7,6466,5878,0.5,0.01171875,135.55771454392863,135.55771454392863,0.26517725,0.08968085,0.11812406455830275,0.11356987813685523,0.4942275285720825,0.4793588592997615,-0.15874005532118274,-0.029889103795812777,19.840217989397885,12.016203546733658,-0.016256554039677573,7.89929978415774,7.135496
6,7,4484,4078,1.0,0.01171875,143.69728726442935,143.69728726442935,0.46202266,0.274404,0.1999847233571696,0.1566327838894458,0.3674742579460144,0.6523823029452496,-0.030388439237241327,0.11588367614156048,23.089555294593666,20.797456351279195,-3.1415926535897927,8.0081528990467,49.56167
6,7,6861,6219,1.5,0.026041666666666668,136.06499433876485,136.06499433876485,0.5656146,0.40498722,0.2377196298623138,0.29549203443200517,0.4241178631782532,0.5362909688604146,-0.20328712100971447,0.0731666156639228,19.57257565518269,15.873655847605807,-0.1410059669939332,8.452088007897089,8.644413
8,5,8495,7995,1.5,0.02734375,174.06916948159738,354.0691694815974,0.8810035,0.014502966,0.5366135175412389,0.014965284604284123,0.39790016412734985,0.8658803165028885,-0.07732299817577648,0.1462145617679218,15.841172761693503,18.057082248908053,-0.8186620290641821,8.352155460167184,19.452766
9,3,4897,4535,0.5,0.014427751856418976,79.48799955912204,259.48799955912204,0.5377948,0.3755445,0.22644707760769917,0.16638101917500125,0.3884013295173645,0.38855096678309203,-0.10856981401298582,0.039527317237547877,16.400872458556417,20.421792999824667,1.1984960119876376,8.185426125121133,5.073001
9,3,8002,7365,2.0,0.03583555807720141,10.357083749368833,10.357083749368833,0.7467496,0.25224164,0.3882097750014473,0.1742712282540068,0.606131911277771,0.8706001925864445,-0.10833764626338449,0.07603530564084737,20.4398870852486,14.018930760497211,3.1063884381048403,8.390876809104286,14.535415
5,6,5338,4907,0.5,0.010452773071868312,138.90877393646136,138.90877393646136,0.376281,0.32097435,0.13631672227783317,0.17263547931460457,0.4971708655357361,0.28704767955729077,-0.26306747090454674,-0.04092511160711765,20.070771734000402,15.611352312256342,-3.1415926535897927,8.08771513195541,78.84369
7,3,5498,5058,0.5,0.02072908669489506,156.03215035628276,156.03215035628276,0.37978762,0.34473014,0.12556999086983997,0.19185235658202632,0.5364764928817749,0.6618229746828668,-0.060299453063189734,0.09752562793066555,17.03782621484332,20.443880844662786,1.1734110617339735,8.014800733290956,17.191435
6,6,6654,6175,0.5,0.01171875,158.96055582020628,158.96055582020628,0.26060832,0.21664754,0.12111488719315927,0.15819752894737887,0.28973388671875,0.09937877615372098,-0.16949898010517062,0.16040674285494427,14.604404562041754,12.176890903825905,0.008266862114235943,7.969772295607667,4.343659
6,2,1832,1677,2.0,0.028556916926381914,39.047512114782506,219.0475121147825,0.36591926,0.5653716,0.11676601322134729,0.2933360552725069,0.5394843816757202,0.254216715840228,-0.1951891082508147,-0.07578193355413254,20.523382889004242,12.473496830158224,0.005768365596782498,7.853429737437809,11.493351
6,4,2254,2057,2.0,0.026041666666666668,54.87525599596981,234.8752559959698,0.9068447,0.87851816,0.517776799064426,0.7054773840266523,0.5490527153015137,0.04630020361131899,-0.20708233595647885,0.020542013770856293,21.611156875443147,14.6233335988284,-3.1415926535897927,8.69418293539788,400.34488
9,4,5261,4905,1.0,0.01171875,13.519325576056275,193.51932557605627,0.37705657,0.1356882,0.17498029917774416,0.0724511996848901,0.3244504928588867,0.3969815294956416,-0.056070581966618516,0.0031830813903668265,18.782541421441884,20.71340122405251,3.1415926535897927,7.929136857001833,7.276777
4,7,1005,824,4.0,0.032012307143378084,1.762171367859736,181.76217136785974,0.2991122,0.4160801,0.07426526366307265,0.2076900809875191,0.5506864786148071,-0.37154821602965504,-0.07967992341609909,-0.03267460269665612,20.868526489193,19.21416765981327,3.1415926535897927,8.24109759315716,5.357187
7,3,2034,1888,2.0,0.02444466638945959,37.69990955497524,37.69990955497524,0.45842993,0.5717726,0.1592836219351072,0.29026766435758306,0.6625052094459534,0.3804748103520759,-0.1676937070226413,-0.0794897998858427,19.26361104128764,16.335666277311372,-3.1415926535897927,8.141404677859938,10.914935
6,4,4767,4392,2.5,0.03187076345605177,116.29730297099735,296.29730297099735,0.71804494,0.41073865,0.34970517876568374,0.26201108212916885,0.5730148553848267,0.8739196598696591,-0.12201302126206448,-0.15812334357448998,15.003608211826041,21.406566924906116,1.6141534085088711,8.340741491589608,214.81725
6,4,1444,1328,0.5,0.018172240812029793,111.80774521181962,291.8077452118196,0.2891002,0.3236888,0.13496442256040742,0.1452815586898198,0.48955512046813965,-0.28378985189181716,-0.08613367721364884,-0.1018280254027013,22.45306112201365,17.592935712587305,-3.1415926535897927,8.425938735577125,16.229794
4,7,2893,2518,2.0,0.03014853296321572,75.17967359022501,255.179673590225,0.7977444,0.37474558,0.4221961650257309,0.23318259899992827,0.38049042224884033,0.8216775965731562,-0.00035956012715843144,0.20783812935745694,18.277238593961275,14.087140314724758,0.1270710782551597,8.286697108632566,11.978985
6,4,1660,1532,2.0,0.020833333333333332,95.17609403009993,275.17609403009993,0.3123277,0.060025435,0.15527341549033852,0.06789147990270893,0.6113593578338623,0.15002565826361206,-0.2437719266260987,0.03825120627383782,18.891531530584203,19.32844801606127,-0.7027411051285863,8.256468723386973,17.587687
