session,scan_idx,unit_id,readout_id,start_frame,end_frame
4,7,644,513,55319,55378
4,7,646,515,14015,14074
4,7,648,517,9903,9962
4,7,650,519,11262,11321
4,7,651,520,11296,11355
4,7,653,522,69113,69172
4,7,656,525,62340,62399
4,7,658,526,11823,11882
4,7,660,528,50604,50663
4,7,661,529,50588,50647
4,7,662,530,31297,31356
4,7,665,533,26208,26267
4,7,670,538,45344,45403
4,7,671,539,57447,57506
4,7,672,540,37001,37060
4,7,673,541,66738,66797
4,7,674,542,37398,37457
4,7,679,547,50340,50399
4,7,680,548,40542,40601
4,7,682,549,69677,69736
4,7,683,550,37006,37065
4,7,686,553,27903,27962
4,7,689,556,28140,28199
4,7,690,557,13803,13862
4,7,691,558,66608,66667
4,7,693,560,35314,35373
4,7,699,565,11182,11241
4,7,700,566,31203,31262
4,7,701,567,68126,68185
4,7,702,568,11478,11537
4,7,703,569,2596,2655
4,7,704,570,28966,29025
4,7,706,572,56446,56505
4,7,707,573,28216,28275
4,7,708,574,67915,67974
4,7,709,575,65566,65625
4,7,713,577,37440,37499
4,7,714,578,34354,34413
4,7,715,579,37400,37459
4,7,716,580,50247,50306
4,7,717,581,70440,70499
4,7,718,582,43372,43431
4,7,719,583,40549,40608
4,7,720,584,72524,72583
4,7,721,585,58140,58199
4,7,722,586,22432,22491
4,7,723,587,57123,57182
4,7,727,589,48619,48678
4,7,728,590,66840,66899
4,7,729,591,14013,14072
4,7,730,592,25804,25863
4,7,736,596,37200,37259
4,7,738,597,67550,67609
4,7,739,598,33827,33886
4,7,740,599,41404,41463
4,7,742,600,32105,32164
4,7,744,601,69673,69732
4,7,746,602,17444,17503
4,7,747,603,5726,5785
4,7,748,604,55509,55568
4,7,756,609,50213,50272
4,7,758,610,72408,72467
4,7,760,611,5940,5999
4,7,761,612,72406,72465
4,7,762,613,50259,50318
4,7,763,614,58593,58652
4,7,764,615,50583,50642
4,7,765,616,23801,23860
4,7,767,618,25876,25935
4,7,768,619,55580,55639
4,7,769,620,55578,55637
4,7,770,621,31279,31338
4,7,775,626,10511,10570
4,7,777,628,39910,39969
4,7,779,629,11592,11651
4,7,780,630,74319,74378
4,7,781,631,9237,9296
4,7,782,632,38539,38598
4,7,783,633,53246,53305
4,7,784,634,16673,16732
4,7,785,635,65583,65642
4,7,791,641,10511,10570
4,7,792,642,2519,2578
4,7,793,643,48307,48366
4,7,795,644,13346,13405
4,7,796,645,1960,2019
4,7,797,646,31212,31271
4,7,798,647,35802,35861
4,7,800,649,1626,1685
4,7,805,654,13877,13936
4,7,806,655,50192,50251
4,7,808,657,70358,70417
4,7,809,658,34019,34078
4,7,816,664,26400,26459
4,7,817,665,2558,2617
4,7,819,667,39931,39990
4,7,821,669,43140,43199
4,7,822,670,47705,47764
4,7,823,671,35703,35762
4,7,825,673,12978,13037
4,7,827,674,70398,70457
4,7,829,676,28025,28084
4,7,831,678,34053,34112
4,7,832,679,31682,31741
4,7,833,680,37420,37479
4,7,836,681,37411,37470
4,7,837,682,31205,31264
4,7,839,683,37413,37472
4,7,840,684,39961,40020
4,7,841,685,50186,50245
4,7,845,687,7853,7912
4,7,846,688,34071,34130
4,7,847,689,31274,31333
4,7,848,690,34060,34119
4,7,849,691,39912,39971
4,7,852,693,37394,37453
4,7,854,695,49997,50056
4,7,855,696,39916,39975
4,7,856,697,8026,8085
4,7,857,698,37417,37476
4,7,858,699,28936,28995
4,7,861,701,37427,37486
4,7,862,702,50136,50195
4,7,863,703,37436,37495
4,7,865,704,39967,40026
4,7,867,705,39473,39532
4,7,873,707,72408,72467
4,7,875,709,69807,69866
4,7,878,710,2217,2276
4,7,879,711,40819,40878
4,7,881,712,15689,15748
4,7,882,713,66015,66074
4,7,883,714,53258,53317
