session,scan_idx,unit_id,readout_id,unit_x,unit_y,unit_z,brain_area,field,pt_root_id,cc_max,layer,cell_type
4,7,644,513,1046.66,129.32,103.76,AL,2,864691136444461443,0.375561,L23,23P
4,7,646,515,947.4,246.62,104.98,AL,2,864691136663142878,0.427203,L23,23P
4,7,648,517,841.69,329.24,106.16,RL,2,864691135348268503,0.591973,L23,23P
4,7,650,519,830.54,364.05,106.36,RL,2,864691136065276824,0.796406,L23,23P
4,7,651,520,997.42,335.58,104.78,RL,2,864691135807519005,0.653091,L23,23P
4,7,653,522,1194.05,401.17,103.19,RL,2,864691135066263364,0.81995,L23,23P
4,7,656,525,959.24,430.12,105.39,RL,2,864691135855690542,0.737604,L23,23P
4,7,658,526,804.62,468.43,106.89,V1,2,864691135615101131,0.59223,L23,23P
4,7,660,528,844.72,473.11,106.54,V1,2,864691136273732030,0.718934,L23,23P
4,7,661,529,869.48,485.34,106.35,V1,2,864691135865921669,0.567356,L23,23P
4,7,662,530,950.14,479.8,105.61,V1,2,864691135700505634,0.73643,L23,23P
4,7,665,533,1108.31,488.61,104.21,RL,2,864691135776919981,0.511465,L23,23P
4,7,670,538,843.16,522.74,106.7,V1,2,864691135946376740,0.0666329,L23,23P
4,7,671,539,888.83,510.01,106.25,V1,2,864691135472842290,0.574129,L23,23P
4,7,672,540,880.74,527.43,106.37,V1,2,864691135355844047,0.646679,L23,23P
4,7,673,541,893.08,534.79,106.28,V1,2,864691135454842218,0.196624,L23,23P
4,7,674,542,949.13,512.06,105.71,V1,2,864691136543223970,0.629308,L23,23P
4,7,679,547,796.48,567.72,107.24,V1,2,864691136023254664,0.769315,L23,23P
4,7,680,548,842.22,552.51,106.79,V1,2,864691136057149400,0.79962,L23,23P
4,7,682,549,841.76,567.4,106.83,V1,2,864691135349237975,0.677929,L23,23P
4,7,683,550,882.71,544.78,106.4,V1,2,864691135718822193,0.781713,L23,23P
4,7,686,553,1000.63,553.87,105.36,V1,2,864691135345445279,0.481263,L23,23P
4,7,689,556,871.48,582.08,106.61,V1,2,864691136021288952,0.643053,L23,23P
4,7,690,557,923.83,596.59,106.18,V1,2,864691135334495209,0.821134,L23,23P
4,7,691,558,916.37,594.16,106.24,V1,2,864691135375215433,0.883388,L23,23P
4,7,693,560,1026.82,600.82,105.26,V1,2,864691135210016704,0.518333,L23,23P
4,7,699,565,826.53,651.86,107.21,V1,2,864691136486780946,0.751164,L23,23P
4,7,700,566,826.92,639.45,107.17,V1,2,864691135686920928,0.673688,L23,23P
4,7,701,567,859.46,644.18,106.89,V1,2,864691135687558880,0.685416,L23,23P
4,7,702,568,942.4,646.08,106.15,V1,2,864691135234029401,0.681704,L23,23P
4,7,703,569,1068.18,645.19,105.01,V1,2,864691135478783942,0.558889,L23,23P
4,7,704,570,1111.41,630.0,104.58,V1,2,864691136422850351,0.51593,L23,23P
4,7,706,572,1239.47,636.53,103.44,V1,2,864691135383663595,0.598232,L23,23P
4,7,707,573,1264.71,633.87,103.21,V1,2,864691135454497386,0.355335,L23,23P
4,7,708,574,1254.8,628.98,103.29,V1,2,864691137054088822,0.514288,L23,23P
4,7,709,575,1342.53,638.28,102.52,RL,2,864691135815929679,0.548058,L23,23P
4,7,713,577,833.3,676.62,107.22,V1,2,864691135440488776,0.808085,L23,23P
4,7,714,578,863.48,676.41,106.94,V1,2,864691135698323221,0.560019,L23,23P
4,7,715,579,875.75,686.24,106.86,V1,2,864691136362231010,0.735698,L23,23P
4,7,716,580,893.44,683.64,106.7,V1,2,864691135270321573,0.5201,L23,23P
4,7,717,581,981.95,668.13,105.85,V1,2,864691136023812665,0.808598,L23,23P
4,7,718,582,1022.28,665.36,105.48,V1,2,864691135454324074,0.681953,L23,23P
4,7,719,583,1039.26,685.09,105.39,V1,2,864691135810357196,0.905103,L23,23P
4,7,720,584,1029.67,670.27,105.43,V1,2,864691135942500980,0.456949,L23,23P
4,7,721,585,1064.81,672.5,105.12,V1,2,864691135012883094,0.730171,L23,23P
4,7,722,586,1102.23,682.16,104.81,V1,2,864691135873948046,0.697023,L23,23P
4,7,723,587,1112.45,677.12,104.7,V1,2,864691135851459271,0.930657,L23,23P
4,7,727,589,1180.29,679.13,104.1,V1,2,864691135576436510,0.565071,L23,23P
4,7,728,590,1235.87,671.29,103.57,V1,2,864691135595899947,0.66371,L23,23P
4,7,729,591,1226.04,663.92,103.64,V1,2,864691135614785227,0.223029,L23,23P
4,7,730,592,1235.32,688.66,103.63,V1,2,864691136020281080,0.528038,L23,23P
4,7,736,596,827.49,701.47,107.34,V1,2,864691135081659127,0.908259,L23,23P
4,7,738,597,890.22,705.99,106.79,V1,2,864691135210152825,0.749645,L23,23P
4,7,739,598,943.05,705.61,106.31,V1,2,864691135946026276,0.783653,L23,23P
