session,scan_idx,unit_id,readout_id,rf_x,rf_y,rf_sigma_x,rf_sigma_y,rf_theta,SSI
4,7,644,513,0.0375150796,-0.4114992798,23.5212739641,13.0142031444,-0.000569556,7.538617449
4,7,646,515,-0.1672693501,-0.2640336586,21.5454868175,17.6977651553,3.1415926536,7.1279881647
4,7,648,517,0.0823061226,-0.0533481806,20.3804858592,14.4254732921,-2.3222974255,6.870610552
4,7,650,519,0.1262291177,-0.0246113424,32.4777100042,22.3116123107,-0.332404757,6.529759025
4,7,651,520,-0.1808875674,0.2368314166,21.7295992657,12.9282006468,0.0096969326,7.1594200556
4,7,653,522,-0.2757180578,0.2910899001,15.5699780527,12.6005040969,-0.2453941233,7.4341900485
4,7,656,525,-0.0102481296,0.1871148549,23.2566783547,20.1124623416,-2.8861849943,6.5098422464
4,7,658,526,-0.0289207903,0.0700127366,17.4055832073,10.8661750519,0.4619086099,7.5318401813
4,7,660,528,-0.032154726,0.0819326817,16.8417816784,14.935524288,1.5967890645,7.6002521271
4,7,661,529,0.017590311,0.0751636842,15.8388788987,11.1917828165,0.1829575064,8.380574379
4,7,662,530,-0.0012184498,0.3217592657,25.6455314411,12.81469619,-0.1758787462,6.9246819443
4,7,665,533,-0.1639681669,-0.4408729164,11.5384844151,17.5738634105,2.0777380279,6.2160655172
4,7,670,538,0.1081433299,0.1335795793,19.2770253597,15.0339994844,3.1415926536,7.053829829
4,7,671,539,-0.0161022611,-0.0214088676,22.4713127669,13.6959229185,0.0003477861,7.4321971209
4,7,672,540,0.0220860959,0.1488179093,13.6430274695,11.0068242444,0.1821936047,7.5235548273
4,7,673,541,0.0540395915,0.0387435079,17.6998246931,13.7589561048,3.1415926536,7.6436742455
4,7,674,542,0.0941594392,0.1888568358,23.531425864,20.6726856266,3.1415926536,7.0064675715
4,7,679,547,0.0190354085,-0.0286650378,15.1404726975,14.5249137209,-3.1415926536,7.5638552246
4,7,680,548,0.0767170717,-0.0500978752,16.3601223778,12.51523253,-2.352759466,6.7919472926
4,7,682,549,-0.1286274852,-0.0125330254,10.8346025958,9.4299635606,0.0130215102,7.1557204446
